ref	vachno	title	url	note
Gadhada I-19	19	The Interdependency of Atma-realization and Other Virtues	https://anirdesh.com/vachanamrut/index.php?format=en&vachno=19	
Gadhada I-20	20	An Ignorant Person; Seeing One's Own Self	https://anirdesh.com/vachanamrut/index.php?format=en&vachno=20	
Gadhada I-21	21	One Possessing Ekantik Dharma; The Two Forms of Akshar	https://anirdesh.com/vachanamrut/index.php?format=en&vachno=21	
Gadhada I-22	22	Singing without Remembering God Is as Good as Not Singing at All; The Digit '1'	https://anirdesh.com/vachanamrut/index.php?format=en&vachno=22	
Gadhada I-23	23	Emptying a Pot of Water; Remaining in an Elevated Spiritual State	https://anirdesh.com/vachanamrut/index.php?format=en&vachno=23	
Gadhada I-24	24	The Elevated Spiritual State of Gnan; 'Sourness' in the Form of the Understanding of God's Greatness	https://anirdesh.com/vachanamrut/index.php?format=en&vachno=24	
Gadhada I-25	25	The Flow of Twenty Pails of Water	https://anirdesh.com/vachanamrut/index.php?format=en&vachno=25	
Gadhada I-26	26	A Genuine Amorous Devotee; The Nirgun State	https://anirdesh.com/vachanamrut/index.php?format=en&vachno=26	
Gadhada I-27	27	The Understanding by which God Eternally Resides within One	https://anirdesh.com/vachanamrut/index.php?format=en&vachno=27	
Gadhada I-28	28	A Smouldering Log; Progressing and Regressing	https://anirdesh.com/vachanamrut/index.php?format=en&vachno=28	
Gadhada I-29	29	Intensifying the Force of Dharma, Gnan, Vairagya and Bhakti; Prarabdha, Grace and Personal Endeavor	https://anirdesh.com/vachanamrut/index.php?format=en&vachno=29	
Gadhada I-30	30	Thoughts that Leave a Lasting Impression	https://anirdesh.com/vachanamrut/index.php?format=en&vachno=30	
Gadhada I-31	31	Greatness Is Due To Faith	https://anirdesh.com/vachanamrut/index.php?format=en&vachno=31	
Gadhada I-32	32	A Nest and a Stake	https://anirdesh.com/vachanamrut/index.php?format=en&vachno=32	
Gadhada I-33	33	Blind Faith, Love and Understanding	https://anirdesh.com/vachanamrut/index.php?format=en&vachno=33	
Gadhada I-34	34	Setting the World in Motion	https://anirdesh.com/vachanamrut/index.php?format=en&vachno=34	
Gadhada I-35	35	Safeguarding One's Liberation	https://anirdesh.com/vachanamrut/index.php?format=en&vachno=35	
Gadhada I-36	36	A True Renunciant, Based on the Example of a Pauper	https://anirdesh.com/vachanamrut/index.php?format=en&vachno=36	
Gadhada I-37	37	Attachment to One's Native Place; Eleven Honors	https://anirdesh.com/vachanamrut/index.php?format=en&vachno=37	
Gadhada I-38	38	A Merchant's Balance Sheet	https://anirdesh.com/vachanamrut/index.php?format=en&vachno=38	
Gadhada I-39	39	Those Possessing the Nirvikalp or Savikalp State	https://anirdesh.com/vachanamrut/index.php?format=en&vachno=39	
Gadhada I-40	40	Savikalp and Nirvikalp Samadhi	https://anirdesh.com/vachanamrut/index.php?format=en&vachno=40	
Gadhada I-41	41	"Eko'ham Bahu Syam"	https://anirdesh.com/vachanamrut/index.php?format=en&vachno=41	
Gadhada I-42	42	The Observance of the Moral Do's and Don'ts	https://anirdesh.com/vachanamrut/index.php?format=en&vachno=42	
Gadhada I-43	43	The Four Types of Liberation	https://anirdesh.com/vachanamrut/index.php?format=en&vachno=43	
Gadhada I-44	44	A Red-hot Branding Iron; A Dagli	https://anirdesh.com/vachanamrut/index.php?format=en&vachno=44	
Gadhada I-45	45	Does God Possess a Form or Is He Formless?	https://anirdesh.com/vachanamrut/index.php?format=en&vachno=45	
Gadhada I-46	46	The Creation and Destruction of Akash	https://anirdesh.com/vachanamrut/index.php?format=en&vachno=46	
Gadhada I-47	47	The Characteristics of Those Who Have the Four Types of Firmness	https://anirdesh.com/vachanamrut/index.php?format=en&vachno=47	
Gadhada I-48	48	The Four Types of Kusangis	https://anirdesh.com/vachanamrut/index.php?format=en&vachno=48	
Gadhada I-49	49	'Antardrashti'	https://anirdesh.com/vachanamrut/index.php?format=en&vachno=49	
Gadhada I-50	50	One Possessing a Sharp Intellect	https://anirdesh.com/vachanamrut/index.php?format=en&vachno=50	
Gadhada I-51	51	Only a Diamond Can Cut a Diamond	https://anirdesh.com/vachanamrut/index.php?format=en&vachno=51	
Gadhada I-52	52	Realizing God through the Four Scriptures	https://anirdesh.com/vachanamrut/index.php?format=en&vachno=52	
Gadhada I-53	53	Progress and Regress	https://anirdesh.com/vachanamrut/index.php?format=en&vachno=53	
Gadhada I-54	54	Upholding Bhagwat Dharma; The Gateway to Liberation	https://anirdesh.com/vachanamrut/index.php?format=en&vachno=54	
Gadhada I-55	55	Resoluteness in Worship, Remembrance and Observance of Religious Vows	https://anirdesh.com/vachanamrut/index.php?format=en&vachno=55	
Gadhada I-56	56	Hollow Stones	https://anirdesh.com/vachanamrut/index.php?format=en&vachno=56	
Gadhada I-57	57	The Most Extraordinary Means to Attain Liberation	https://anirdesh.com/vachanamrut/index.php?format=en&vachno=57	
Gadhada I-58	58	The Body, Bad Company and Past Sanskars; One Becomes like One Perceives the Great	https://anirdesh.com/vachanamrut/index.php?format=en&vachno=58	
Gadhada I-59	59	Unparalleled Love	https://anirdesh.com/vachanamrut/index.php?format=en&vachno=59	
Gadhada I-60	60	Observing Ekantik Dharma; Eradicating Worldly Desires	https://anirdesh.com/vachanamrut/index.php?format=en&vachno=60	
Gadhada I-61	61	King Bali	https://anirdesh.com/vachanamrut/index.php?format=en&vachno=61	
Gadhada I-62	62	Acquiring the Virtues of Satya, Shauch, Etc.	https://anirdesh.com/vachanamrut/index.php?format=en&vachno=62	
Gadhada I-63	63	Faith; Realizing God Perfectly	https://anirdesh.com/vachanamrut/index.php?format=en&vachno=63	
Gadhada I-64	64	The Relationship between Sharir and Shariri; A Master-Servant Relationship	https://anirdesh.com/vachanamrut/index.php?format=en&vachno=64	
Gadhada I-65	65	'Gnan-shakti', 'Kriya-shakti' and 'Ichchha-shakti'	https://anirdesh.com/vachanamrut/index.php?format=en&vachno=65	
Gadhada I-66	66	Misinterpreting the Words of the Scriptures; The Four Emanations of God	https://anirdesh.com/vachanamrut/index.php?format=en&vachno=66	
Gadhada I-67	67	Acquiring the Virtues of the Satpurush	https://anirdesh.com/vachanamrut/index.php?format=en&vachno=67	
Gadhada I-68	68	God Forever Resides in the Eight Types of Murtis and in the Sant	https://anirdesh.com/vachanamrut/index.php?format=en&vachno=68	
Gadhada I-69	69	The Dharma of a Wicked Person and a Sadhu	https://anirdesh.com/vachanamrut/index.php?format=en&vachno=69	
Gadhada I-70	70	Kakabhai's Question; A Thief Injured by a Thorn	https://anirdesh.com/vachanamrut/index.php?format=en&vachno=70	
Gadhada I-71	71	God Manifests with His Akshardham	https://anirdesh.com/vachanamrut/index.php?format=en&vachno=71	
Gadhada I-72	72	Faith Coupled with the Knowledge of God's Greatness	https://anirdesh.com/vachanamrut/index.php?format=en&vachno=72	
Gadhada I-73	73	Conquering Lust; Becoming Free of Worldly Desires	https://anirdesh.com/vachanamrut/index.php?format=en&vachno=73	
Gadhada I-74	74	Understanding Is Measured in Times of Hardship	https://anirdesh.com/vachanamrut/index.php?format=en&vachno=74	
Gadhada I-75	75	Redeeming Seventy-One Generations	https://anirdesh.com/vachanamrut/index.php?format=en&vachno=75	
Gadhada I-76	76	An Angry Person, a Jealous Person, a Deceitful Person and an Egotistical Person	https://anirdesh.com/vachanamrut/index.php?format=en&vachno=76	
Gadhada I-77	77	Not Invalidating Dharma under the Pretext of Gnan	https://anirdesh.com/vachanamrut/index.php?format=en&vachno=77	
Gadhada I-78	78	The Predominance of Place, Time, Etc.	https://anirdesh.com/vachanamrut/index.php?format=en&vachno=78	
Sarangpur-1	79	Conquering the Mind	https://anirdesh.com/vachanamrut/index.php?format=en&vachno=79	
Sarangpur-2	80	Developing Affection for the Form of God	https://anirdesh.com/vachanamrut/index.php?format=en&vachno=80	
Sarangpur-3	81	'Shravan', 'Manan', 'Nididhyas' and 'Sakshatkar'	https://anirdesh.com/vachanamrut/index.php?format=en&vachno=81	
Sarangpur-4	82	Wisdom in Discerning between Atma and Non-Atma	https://anirdesh.com/vachanamrut/index.php?format=en&vachno=82	
Sarangpur-5	83	Anvay-Vyatirek	https://anirdesh.com/vachanamrut/index.php?format=en&vachno=83	
Sarangpur-6	84	Two States within Each State; The Four Types of Speech	https://anirdesh.com/vachanamrut/index.php?format=en&vachno=84	
Sarangpur-7	85	Naimisharanya Kshetra	https://anirdesh.com/vachanamrut/index.php?format=en&vachno=85	
Sarangpur-8	86	The Characteristics of Jealousy	https://anirdesh.com/vachanamrut/index.php?format=en&vachno=86	
Sarangpur-9	87	The Prevalence of the Dharma of the Yugs; 'Sthan'	https://anirdesh.com/vachanamrut/index.php?format=en&vachno=87	
Sarangpur-10	88	A Physical Perspective versus the Atma's Perspective; Being Beaten by Shoes	https://anirdesh.com/vachanamrut/index.php?format=en&vachno=88	
Sarangpur-11	89	Personal Endeavor	https://anirdesh.com/vachanamrut/index.php?format=en&vachno=89	
Sarangpur-12	90	Thinking about the Atma	https://anirdesh.com/vachanamrut/index.php?format=en&vachno=90	
Sarangpur-13	91	Losing Faith and Not Losing Faith	https://anirdesh.com/vachanamrut/index.php?format=en&vachno=91	
Sarangpur-14	92	Laziness and Infatuation	https://anirdesh.com/vachanamrut/index.php?format=en&vachno=92	
Sarangpur-15	93	Obstinate, Mediocre and Mature Gopis	https://anirdesh.com/vachanamrut/index.php?format=en&vachno=93	
Sarangpur-16	94	Narnarayan's Austerities	https://anirdesh.com/vachanamrut/index.php?format=en&vachno=94	
Sarangpur-17	95	Differences among Muktas; The Branch of a Tamarind Tree	https://anirdesh.com/vachanamrut/index.php?format=en&vachno=95	
Sarangpur-18	96	Saline Land	https://anirdesh.com/vachanamrut/index.php?format=en&vachno=96	
Kariyani-1	97	A Worm and a Bee	https://anirdesh.com/vachanamrut/index.php?format=en&vachno=97	
Kariyani-2	98	A Cursed Intellect	https://anirdesh.com/vachanamrut/index.php?format=en&vachno=98	
Kariyani-3	99	Shuk Muni Is a Great Sadhu; A Person Cannot Be Known by His Superficial Nature	https://anirdesh.com/vachanamrut/index.php?format=en&vachno=99	
Kariyani-4	100	Awareness of the Jiva and the Witness	https://anirdesh.com/vachanamrut/index.php?format=en&vachno=100	
Kariyani-5	101	God's Purpose for Assuming an Avatar	https://anirdesh.com/vachanamrut/index.php?format=en&vachno=101	
Kariyani-6	102	One Who Possesses Matsar	https://anirdesh.com/vachanamrut/index.php?format=en&vachno=102	
Kariyani-7	103	Vairagya Due to Obsession; Ultimate Liberation	https://anirdesh.com/vachanamrut/index.php?format=en&vachno=103	
Kariyani-8	104	The Sagun and Nirgun Forms of God	https://anirdesh.com/vachanamrut/index.php?format=en&vachno=104	
Kariyani-9	105	Obstinacy like a Buffalo	https://anirdesh.com/vachanamrut/index.php?format=en&vachno=105	
Kariyani-10	106	Checking the Pulse; Austerities	https://anirdesh.com/vachanamrut/index.php?format=en&vachno=106	
Kariyani-11	107	The Characteristic of Affection	https://anirdesh.com/vachanamrut/index.php?format=en&vachno=107	
Kariyani-12	108	Destroying the Karan Body; A Tamarind Seed	https://anirdesh.com/vachanamrut/index.php?format=en&vachno=108	
Loya-1	109	Anger; Developing Complete Satsang	https://anirdesh.com/vachanamrut/index.php?format=en&vachno=109	
Loya-2	110	One with Faith, Gnan, Courage or Affection	https://anirdesh.com/vachanamrut/index.php?format=en&vachno=110	
Loya-3	111	One with Faith in God Coupled with the Knowledge of His Greatness	https://anirdesh.com/vachanamrut/index.php?format=en&vachno=111	
Loya-4	112	If One Doubts God, One Cannot Be Said to Have Overcome Maya	https://anirdesh.com/vachanamrut/index.php?format=en&vachno=112	
Loya-5	113	Controlling the Indriyas and the Antahkaran	https://anirdesh.com/vachanamrut/index.php?format=en&vachno=113	
Loya-6	114	Purifying the Company One Keeps	https://anirdesh.com/vachanamrut/index.php?format=en&vachno=114	
Loya-7	115	Realizing God through the Indriyas, the Antahkaran and Experience	https://anirdesh.com/vachanamrut/index.php?format=en&vachno=115	
Loya-8	116	Eradicating the Over-Excitability of the Indriyas; Accepting Only Words Related to One's Inclination	https://anirdesh.com/vachanamrut/index.php?format=en&vachno=116	
Loya-9	117	Factors which Lead to the Development of Dharma, Gnan, Vairagya and Bhakti	https://anirdesh.com/vachanamrut/index.php?format=en&vachno=117	
Loya-10	118	Remaining Uninfatuated	https://anirdesh.com/vachanamrut/index.php?format=en&vachno=118	
Loya-11	119	Beliefs of a Holy and Unholy Person	https://anirdesh.com/vachanamrut/index.php?format=en&vachno=119	
Loya-12	120	The Six Levels of Faith; Savikalp and Nirvikalp Faith	https://anirdesh.com/vachanamrut/index.php?format=en&vachno=120	
Loya-13	121	Not Being Overcome by Adverse Circumstances	https://anirdesh.com/vachanamrut/index.php?format=en&vachno=121	
Loya-14	122	Personal Preferences	https://anirdesh.com/vachanamrut/index.php?format=en&vachno=122	
Loya-15	123	Explaining Atmadarshan Using the Analogies of a Doll and a Cow	https://anirdesh.com/vachanamrut/index.php?format=en&vachno=123	
Loya-16	124	Worldly Desires Becoming Blunt and Uprooted	https://anirdesh.com/vachanamrut/index.php?format=en&vachno=124	
Loya-17	125	Reverence and Condemnation	https://anirdesh.com/vachanamrut/index.php?format=en&vachno=125	
Loya-18	126	Conviction of God	https://anirdesh.com/vachanamrut/index.php?format=en&vachno=126	
Panchala-1	127	One Who Is Intelligent; Applying a Thought Process	https://anirdesh.com/vachanamrut/index.php?format=en&vachno=127	
Panchala-2	128	Sankhya and Yoga	https://anirdesh.com/vachanamrut/index.php?format=en&vachno=128	
Panchala-3	129	Muni Bawa; That Which Is Instrumental in Attaining Liberation Is Known as Intelligence	https://anirdesh.com/vachanamrut/index.php?format=en&vachno=129	
Panchala-4	130	Perceiving Divinity in the Human Traits of God	https://anirdesh.com/vachanamrut/index.php?format=en&vachno=130	
Panchala-5	131	Where Is Conceit Appropriate, and Where Is Humility Appropriate?	https://anirdesh.com/vachanamrut/index.php?format=en&vachno=131	
Panchala-6	132	Those with Firm Upasana Attain Liberation	https://anirdesh.com/vachanamrut/index.php?format=en&vachno=132	
Panchala-7	133	The 'Maya' of a Magician	https://anirdesh.com/vachanamrut/index.php?format=en&vachno=133	
Gadhada II-1	134	The Cause of Infatuation	https://anirdesh.com/vachanamrut/index.php?format=en&vachno=134	
Gadhada II-2	135	A Small Streamlet of Water	https://anirdesh.com/vachanamrut/index.php?format=en&vachno=135	
Gadhada II-3	136	The Path of Amorousness and the Knowledge of the Atma	https://anirdesh.com/vachanamrut/index.php?format=en&vachno=136	
Gadhada II-4	137	Constant Contemplation Is Achieved through Realizing the Greatness of God and Shraddha: A Torn Waistcloth and a Gourd	https://anirdesh.com/vachanamrut/index.php?format=en&vachno=137	
Gadhada II-5	138	Fidelity and Courage	https://anirdesh.com/vachanamrut/index.php?format=en&vachno=138	
Gadhada II-6	139	A Draft; The Nature of the Chitt	https://anirdesh.com/vachanamrut/index.php?format=en&vachno=139	
Gadhada II-7	140	A Poor Man	https://anirdesh.com/vachanamrut/index.php?format=en&vachno=140	
Gadhada II-8	141	Ekadashi; 'Gnan-Yagna'; 'Antardrashti'	https://anirdesh.com/vachanamrut/index.php?format=en&vachno=141	
Gadhada II-9	142	Conviction of God; Realizing God to be like Other Avatars Is Blasphemy	https://anirdesh.com/vachanamrut/index.php?format=en&vachno=142	
Gadhada II-10	143	Safeguarding the Fetus in the Form of Faith in God	https://anirdesh.com/vachanamrut/index.php?format=en&vachno=143	
Gadhada II-11	144	All Karmas Becoming a Form of Bhakti	https://anirdesh.com/vachanamrut/index.php?format=en&vachno=144	
Gadhada II-12	145	The Art of Ruling	https://anirdesh.com/vachanamrut/index.php?format=en&vachno=145	
Gadhada II-13	146	Divine Light	https://anirdesh.com/vachanamrut/index.php?format=en&vachno=146	
Gadhada II-14	147	Nirvikalp Samadhi	https://anirdesh.com/vachanamrut/index.php?format=en&vachno=147	
Gadhada II-15	148	Keeping Enmity towards One's Swabhavs	https://anirdesh.com/vachanamrut/index.php?format=en&vachno=148	
Gadhada II-16	149	Faith in God and Faith in Dharma	https://anirdesh.com/vachanamrut/index.php?format=en&vachno=149	
Gadhada II-17	150	The Elements in the Form of God; 'Sthitapragna'	https://anirdesh.com/vachanamrut/index.php?format=en&vachno=150	
Gadhada II-18	151	Nastiks and Shushka-Vedantis	https://anirdesh.com/vachanamrut/index.php?format=en&vachno=151	
Gadhada II-19	152	Writing a Letter Having Become Distressed by Hearing Shushka-Vedanta Scriptures	https://anirdesh.com/vachanamrut/index.php?format=en&vachno=152	
Gadhada II-20	153	How Do the Faculty of Knowing and the Strength of the Indriyas of One Who Has Mastered Samadhi Increase?	https://anirdesh.com/vachanamrut/index.php?format=en&vachno=153	
Gadhada II-21	154	The Main Principle	https://anirdesh.com/vachanamrut/index.php?format=en&vachno=154	
Gadhada II-22	155	Two Armies; The Installation of Nar-Narayan	https://anirdesh.com/vachanamrut/index.php?format=en&vachno=155	
Gadhada II-23	156	Heat and Frost	https://anirdesh.com/vachanamrut/index.php?format=en&vachno=156	
Gadhada II-24	157	Resoluteness in Sankhya and in Yoga; Choko-Patlo	https://anirdesh.com/vachanamrut/index.php?format=en&vachno=157	
Gadhada II-25	158	A Renunciant Who Harbors Worldly Desires and a Householder Who Has No Worldly Desires	https://anirdesh.com/vachanamrut/index.php?format=en&vachno=158	
Gadhada II-26	159	Suppressing Atma-realization and Other Virtues if They Obstruct Bhakti	https://anirdesh.com/vachanamrut/index.php?format=en&vachno=159	
Gadhada II-27	160	The Great Are Pleased When No Impure Desires Remain	https://anirdesh.com/vachanamrut/index.php?format=en&vachno=160	
Gadhada II-28	161	Maharaj's Compassionate Nature; A 'Lifeline'	https://anirdesh.com/vachanamrut/index.php?format=en&vachno=161	
Gadhada II-29	162	The Characteristics of One Who Is Attached to God	https://anirdesh.com/vachanamrut/index.php?format=en&vachno=162	
Gadhada II-30	163	Not Becoming Bound by Women and Gold	https://anirdesh.com/vachanamrut/index.php?format=en&vachno=163	
Gadhada II-31	164	Associating with Brahma through Contemplation	https://anirdesh.com/vachanamrut/index.php?format=en&vachno=164	
Gadhada II-32	165	A Cactus Plant; Unhindered Bhakti	https://anirdesh.com/vachanamrut/index.php?format=en&vachno=165	
Gadhada II-33	166	The Vow of Non-Lust	https://anirdesh.com/vachanamrut/index.php?format=en&vachno=166	
Gadhada II-34	167	Are the Elements Jad or Chaitanya?	https://anirdesh.com/vachanamrut/index.php?format=en&vachno=167	
Gadhada II-35	168	The Underground Store of Grains	https://anirdesh.com/vachanamrut/index.php?format=en&vachno=168	
Gadhada II-36	169	Four Means of Maintaining Continuous Vrutti	https://anirdesh.com/vachanamrut/index.php?format=en&vachno=169	
Gadhada II-37	170	Eradicating One's Innate Natures; Even a Person Possessing Gnan Behaves According to His Nature	https://anirdesh.com/vachanamrut/index.php?format=en&vachno=170	
Gadhada II-38	171	Mancha Bhakta; 'Merging'	https://anirdesh.com/vachanamrut/index.php?format=en&vachno=171	
Gadhada II-39	172	Natural Virtues	https://anirdesh.com/vachanamrut/index.php?format=en&vachno=172	
Gadhada II-40	173	Offering One Extra Prostration	https://anirdesh.com/vachanamrut/index.php?format=en&vachno=173	
Gadhada II-41	174	A Bone in the Form of Egotism	https://anirdesh.com/vachanamrut/index.php?format=en&vachno=174	
Gadhada II-42	175	Akshar Has Both Sagun and Nirgun Aspects; The Key	https://anirdesh.com/vachanamrut/index.php?format=en&vachno=175	
Gadhada II-43	176	Brahmaswarup Love	https://anirdesh.com/vachanamrut/index.php?format=en&vachno=176	
Gadhada II-44	177	The Characteristics of Godly and Demonic People	https://anirdesh.com/vachanamrut/index.php?format=en&vachno=177	
Gadhada II-45	178	Expelling the Horde of the Fifty-One Bhuts	https://anirdesh.com/vachanamrut/index.php?format=en&vachno=178	
Gadhada II-46	179	The 'Death-line'; Falling from Ekantik Dharma	https://anirdesh.com/vachanamrut/index.php?format=en&vachno=179	
Gadhada II-47	180	A Split in the Pruthvi Down to Patal	https://anirdesh.com/vachanamrut/index.php?format=en&vachno=180	
Gadhada II-48	181	The 'Vandu' Devotional Songs; Taking Birth in the Company of the Sant	https://anirdesh.com/vachanamrut/index.php?format=en&vachno=181	
Gadhada II-49	182	A Great Difference Exists between God's Form and Mayik Forms; Not Becoming Content with Spiritual Discourses, Devotional Songs, etc.	https://anirdesh.com/vachanamrut/index.php?format=en&vachno=182	
Gadhada II-50	183	The Fundamental Principle; Worldly Attachment	https://anirdesh.com/vachanamrut/index.php?format=en&vachno=183	
Gadhada II-51	184	The Characteristics of One Who Behaves as the Atma	https://anirdesh.com/vachanamrut/index.php?format=en&vachno=184	
Gadhada II-52	185	What Befits a Renunciant and What Befits a Householder	https://anirdesh.com/vachanamrut/index.php?format=en&vachno=185	
Gadhada II-53	186	Not Being Able to Perceive One's Own Flaws Is Delusion	https://anirdesh.com/vachanamrut/index.php?format=en&vachno=186	
Gadhada II-54	187	Satsang Is the Greatest Spiritual Endeavor; A 'Gokhar'; Profound Attachment	https://anirdesh.com/vachanamrut/index.php?format=en&vachno=187	
Gadhada II-55	188	A Goldsmith's Workshop	https://anirdesh.com/vachanamrut/index.php?format=en&vachno=188	
Gadhada II-56	189	A Lightly Dyed Cloth	https://anirdesh.com/vachanamrut/index.php?format=en&vachno=189	
Gadhada II-57	190	The Example of a Lizard; A 'Cat-like' Devotee	https://anirdesh.com/vachanamrut/index.php?format=en&vachno=190	
Gadhada II-58	191	The Flourishing of a Sampraday	https://anirdesh.com/vachanamrut/index.php?format=en&vachno=191	
Gadhada II-59	192	Ultimate Liberation	https://anirdesh.com/vachanamrut/index.php?format=en&vachno=192	
Gadhada II-60	193	Overcoming Difficulties; Being Loyal	https://anirdesh.com/vachanamrut/index.php?format=en&vachno=193	
Gadhada II-61	194	Niyams, Faith in God, and Loyalty	https://anirdesh.com/vachanamrut/index.php?format=en&vachno=194	
Gadhada II-62	195	Atma-Realization, Fidelity and Servitude	https://anirdesh.com/vachanamrut/index.php?format=en&vachno=195	
Gadhada II-63	196	Gaining Strength	https://anirdesh.com/vachanamrut/index.php?format=en&vachno=196	
Gadhada II-64	197	Purushottam Bhatt's Question	https://anirdesh.com/vachanamrut/index.php?format=en&vachno=197	
Gadhada II-65	198	The Over-Wise	https://anirdesh.com/vachanamrut/index.php?format=en&vachno=198	
Gadhada II-66	199	Questions to the Senior Sadhus; Holding a Red-Hot Iron Ball	https://anirdesh.com/vachanamrut/index.php?format=en&vachno=199	
Gadhada II-67	200	The Gangajaliyo Well	https://anirdesh.com/vachanamrut/index.php?format=en&vachno=200	
Vartal-1	201	Nirvikalp Samadhi	https://anirdesh.com/vachanamrut/index.php?format=en&vachno=201	
Vartal-2	202	Realizing God through the Four Scriptures; Kandasji's Question	https://anirdesh.com/vachanamrut/index.php?format=en&vachno=202	
Vartal-3	203	Four Types of Eminent Spiritual People	https://anirdesh.com/vachanamrut/index.php?format=en&vachno=203	
Vartal-4	204	A Fountain	https://anirdesh.com/vachanamrut/index.php?format=en&vachno=204	
Vartal-5	205	One Should Not Perceive Maya in God; Performing Similar Service	https://anirdesh.com/vachanamrut/index.php?format=en&vachno=205	
Vartal-6	206	Chimanravji's Question	https://anirdesh.com/vachanamrut/index.php?format=en&vachno=206	
Vartal-7	207	The Characteristics of Godly and Demonic People; Anvay-Vyatirek	https://anirdesh.com/vachanamrut/index.php?format=en&vachno=207	
Vartal-8	208	A Spider's Web	https://anirdesh.com/vachanamrut/index.php?format=en&vachno=208	
Vartal-9	209	How Can One Experience the Nirgun Bliss of God?	https://anirdesh.com/vachanamrut/index.php?format=en&vachno=209	
Vartal-10	210	How the Jiva Attains Liberation	https://anirdesh.com/vachanamrut/index.php?format=en&vachno=210	
Vartal-11	211	The Destruction of the Jiva; Love for the Satpurush Is the Only Means to Realizing the Atma	https://anirdesh.com/vachanamrut/index.php?format=en&vachno=211	
Vartal-12	212	Faith Coupled with the Knowledge of God's Greatness	https://anirdesh.com/vachanamrut/index.php?format=en&vachno=212	
Vartal-13	213	If Brahma Pervades, How Can It Possess a Form?	https://anirdesh.com/vachanamrut/index.php?format=en&vachno=213	
Vartal-14	214	Whom a Non-believer Considers a Sinner Is Not a Sinner, and Whom He Considers to be Sincere in His Dharma Is Not Really So	https://anirdesh.com/vachanamrut/index.php?format=en&vachno=214	
Vartal-15	215	The Reasons for Becoming Godly and Demonic	https://anirdesh.com/vachanamrut/index.php?format=en&vachno=215	
Vartal-16	216	Not Feeling Comfortable with Worldly Great Men	https://anirdesh.com/vachanamrut/index.php?format=en&vachno=216	
Vartal-17	217	An Enlightened Person Has Conquered His Indriyas	https://anirdesh.com/vachanamrut/index.php?format=en&vachno=217	
Vartal-18	218	Facts That Must Be Understood	https://anirdesh.com/vachanamrut/index.php?format=en&vachno=218	
Vartal-19	219	Becoming a Devotee of God; Indiscretion	https://anirdesh.com/vachanamrut/index.php?format=en&vachno=219	
Vartal-20	220	King Janak's Understanding	https://anirdesh.com/vachanamrut/index.php?format=en&vachno=220	
Amdavad-1	221	Miraculous Meditation	https://anirdesh.com/vachanamrut/index.php?format=en&vachno=221	
Amdavad-2	222	Performing Puja after Washing and Bathing	https://anirdesh.com/vachanamrut/index.php?format=en&vachno=222	
Amdavad-3	223	The Implanted Branch of a Banyan Tree; Upsham	https://anirdesh.com/vachanamrut/index.php?format=en&vachno=223	
Gadhada III-1	224	The Inclinations of Gnan and Affection	https://anirdesh.com/vachanamrut/index.php?format=en&vachno=224	
Gadhada III-2	225	The Attainment of All Purusharths; Incarnate God in the Form of the Guru	https://anirdesh.com/vachanamrut/index.php?format=en&vachno=225	
Gadhada III-3	226	Compassion and Affection	https://anirdesh.com/vachanamrut/index.php?format=en&vachno=226	
